Minuto,Arduino_1,Arduino_2,Hobo_1,Hobo_2
125,-16.548,-15.702,-15.45216667,-15.39833333
126,-16.39,-15.75,-15.33833333,-15.29116667
127,-16.235,-15.75,-15.224,-15.184
128,-16.06,-15.75,-15.09066667,-15.084
129,-15.91,-15.75,-14.9645,-14.99083333
130,-15.765,-15.69,-14.819,-14.8785
131,-15.614,-15.666,-14.6805,-14.76616667
132,-15.47,-15.6125,-14.53633333,-14.67383333
133,-15.33,-15.56,-14.39883333,-14.56233333
134,-15.178,-15.476,-14.2555,-14.45133333
135,-15.045,-15.395,-14.12,-14.353
136,-14.91,-15.3275,-13.98433333,-14.236
137,-14.8125,-15.235,-13.84916667,-14.133
138,-14.66,-15.16,-13.734,-14.023
139,-14.5625,-15.0625,-13.6,-13.907
140,-14.428,-14.964,-13.479,-13.80416667
141,-14.28,-14.8625,-13.35233333,-13.68933333
142,-14.16,-14.765,-13.239,-13.581
143,-14.0625,-14.675,-13.12566667,-13.47266667
144,-13.97,-14.595,-13.02533333,-13.37116667
145,-13.838,-14.476,-12.919,-13.277
146,-13.72,-14.3625,-12.81283333,-13.17583333
147,-13.595,-14.265,-12.7075,-13.07533333
148,-13.485,-14.16,-12.59583333,-12.97533333
149,-13.3775,-14.0625,-12.49716667,-12.88783333
150,-13.28,-13.97,-12.40466667,-12.788
151,-13.154,-13.838,-12.31216667,-12.7075
152,-13.045,-13.72,-12.2205,-12.602
153,-12.925,-13.55,-12.1105,-12.5095
154,-12.88,-13.2975,-11.80633333,-12.09816667
155,-12.985,-13.16,-11.77616667,-11.97
156,-13.29,-13.13,-11.92766667,-12.07383333
157,-13.6425,-13.16,-12.20833333,-12.30633333
158,-14.0025,-13.25,-12.53416667,-12.60216667
